Prompts,Response
Abdominal Pain,"The symptoms are: Cramping, sharp pain, dull ache, bloating, gas. The risk factors are: Poor diet, lack of exercise, stress, smoking, excessive alcohol consumption, history of digestive disorders. You are recommended to: Eat a balanced diet high in fruits, vegetables, and whole grains, drink plenty of water, exercise regularly, reduce stress through relaxation techniques like meditation or yoga, avoid smoking and limit alcohol intake. When you should see the doctor: If pain is severe or lasts for more than a few days, accompanied by symptoms like fever, persistent nausea/vomiting, weight loss, or blood in stool, if the pain becomes more intense or changes in character."
Chest Pain,"The symptoms are: Sharp or dull ache in the chest, feeling of pressure or tightness in the chest, pain spreading to the neck, jaw, shoulders, or arms, shortness of breath, dizziness or lightheadedness, nausea or vomiting. The risk factors are: History of heart disease or family history of heart issues, high blood pressure, high cholesterol levels, smoking, obesity, sedentary lifestyle, diabetes, stress or anxiety. You are recommended to: Maintain a healthy weight, exercise regularly, focusing on cardiovascular health, eat a balanced diet rich in fruits, vegetables, whole grains, and lean proteins, limit intake of saturated fats, salt, and sugars, quit smoking and limit alcohol consumption, manage stress through techniques like meditation, deep breathing exercises, or yoga, regular health check-ups, especially if there's a family history of heart disease. When you should see the doctor: Immediately if chest pain is severe, sudden, or accompanied by symptoms like shortness of breath, sweating, or nausea, if it occurs with less physical exertion, if chest pain is a new symptom for you, regular check-ups if you have risk factors for heart disease."
Hematochezia (Blood in Stool),"The symptoms are: Bright red blood present in or on the stool, dark red or maroon-colored stool, black, tarry stool, abdominal pain or discomfort, a feeling of incomplete bowel evacuation, changes in bowel habits. The risk factors are: Hemorrhoids, gastrointestinal bleeding, inflammatory bowel disease (such as crohn's disease or ulcerative colitis), diverticulosis, anal fissures, use of nonsteroidal anti-inflammatory drugs (nsaids), gastric ulcers, colorectal cancer. You are recommended to: Increase fiber intake through diet (fruits, vegetables, whole grains), drink plenty of water to prevent constipation, exercise regularly, avoid prolonged use of nsaids unless prescribed, limit alcohol consumption, avoid straining during bowel movements, regular screening for colorectal cancer (as recommended by healthcare provider). When you should see the doctor: Immediately if there is a significant amount of blood, especially if accompanied by symptoms like dizziness, fainting, or severe abdominal pain, if there is a persistent change in bowel habits or stool appearance, for regular screening, especially if over 50 or have a family history of colorectal cancer, if diagnosed with conditions like hemorrhoids, inflammatory bowel disease, or diverticulosis, follow up as recommended by a healthcare provider."
Constipation,"The symptoms are: Infrequent bowel movements (typically fewer than three times a week), hard, dry, or lumpy stools, difficulty or straining during bowel movements, feeling of incomplete evacuation after a bowel movement, abdominal pain or bloating, decreased appetite. The risk factors are: Low fiber diet, inadequate fluid intake, sedentary lifestyle, certain medications (like opioids, some antidepressants, antacids with aluminum), aging, stress, ignoring the urge to have a bowel movement, medical conditions like diabetes, thyroid disorders, or irritable bowel syndrome. You are recommended to: Increase intake of dietary fiber (fruits, vegetables, whole grains), drink plenty of fluids, especially water, exercise regularly to stimulate bowel function, establish a regular bowel habit, responding to the body's natural urges, avoid overuse of laxatives, manage stress with relaxation techniques like yoga or meditation. When you should see the doctor: If constipation is new or unusual for you, if there is blood in your stool, if constipation is accompanied by severe abdominal pain, if there are symptoms of bowel obstruction (vomiting, inability to pass gas or stool), if lifestyle changes and over-the-counter treatments don't improve symptoms, if experiencing weight loss without trying."
Cough,"The symptoms are: Frequent, forceful expulsion of air from the lungs, sound of coughing can be dry (non-productive) or wet (productive) indicating the presence of mucus, sore throat, hoarseness, shortness of breath, chest discomfort. The risk factors are: Common cold or flu, allergies, asthma, gastroesophageal reflux disease (gerd), smoking, exposure to air pollutants, chronic bronchitis or copd, certain medications like ace inhibitors. You are recommended to: Stay hydrated to help loosen mucus, use a humidifier to add moisture to the air, quit smoking and avoid secondhand smoke, wash hands regularly to prevent infections, avoid known allergens, for gerd, avoid foods that trigger acid reflux and eat smaller, more frequent meals, practice deep breathing exercises. When you should see the doctor: If cough lasts longer than 3 weeks, if cough is severe or gets worse quickly, if experiencing chest pain, shortness of breath, or wheezing, if coughing up blood or discolored mucus, if accompanied by unexplained weight loss or night sweats."
Diarrhea,"The symptoms are: Frequent, loose, watery stools, abdominal cramps or pain, urgent need to have a bowel movement, bloating, nausea, vomiting (in some cases). The risk factors are: Bacterial, viral, or parasitic infections, consumption of contaminated food or water, lactose intolerance, gluten sensitivity or celiac disease, certain medications (such as antibiotics), digestive disorders like crohn's disease, ulcerative colitis, or irritable bowel syndrome, traveling to areas with poor sanitation (traveler’s diarrhea). You are recommended to: Stay hydrated to replace lost fluidsUse oral rehydration solutions if necessary., eat bland, easy-to-digest foods like toast, rice, bananas, and applesauce initially., avoid dairy products, fatty foods, high fiber foods, or highly seasoned foods initially., wash hands thoroughly and frequently, especially after using the bathroom and before eating., practice safe food handling and preparation., if traveling, be cautious with food and water (drink bottled water, avoid raw foods).. When you should see the doctor: If diarrhea persists for more than 2 days without improvement, if there is severe pain in the abdomen or rectum, if diarrhea is accompanied by high fever, if there are signs of dehydration (such as dry mouth, little or no urination, dizziness), if there is blood or pus in the stools, if associated with significant weight loss."
Dysphagia (Difficulty Swallowing,"The symptoms are: Sensation of food getting stuck in the throat or chest, pain while swallowing (odynophagia), choking or coughing while eating, regurgitation of food, frequent heartburn, drooling or inability to control saliva, unexplained weight loss. The risk factors are: Neurological disorders (such as parkinson's disease, multiple sclerosis, or stroke), certain cancers (like esophageal or throat cancer), gastroesophageal reflux disease (gerd), aging (muscles in esophagus weaken over time), esophageal stricture (narrowing of the esophagus), muscle disorders (such as achalasia or myasthenia gravis). You are recommended to: Eat slowly and chew food thoroughly, opt for softer, easier-to-swallow foods, avoid alcohol and tobacco, which can exacerbate symptoms, elevate the head while sleeping to reduce nighttime symptoms, maintain good posture during meals, for gerd-related symptoms, avoid foods that trigger acid reflux, stay hydrated. When you should see the doctor: If difficulty swallowing is persistent or worsening, if accompanied by pain, weight loss, or choking, if it's causing nutritional deficiencies or dehydration, if there are signs of aspiration (food or liquid entering the lungs), if difficulty swallowing interferes significantly with quality of life."
Dizziness,"The symptoms are: Feeling of spinning or moving (vertigo), loss of balance or unsteadiness, lightheadedness or feeling faint, blurred vision, nausea or vomiting, ringing in the ears or hearing loss (in some cases). The risk factors are: Inner ear problems (like benign paroxysmal positional vertigo or meniere's disease), vestibular migraine, head injury, medications that affect the inner ear or brain, dehydration or low blood sugar, cardiovascular issues (such as arrhythmia or low blood pressure), anxiety or panic attacks, anemia or iron deficiency. You are recommended to: Stay hydrated, eat regular, balanced meals to maintain blood sugar levels, limit caffeine and alcohol intake, practice stress-reduction techniques like meditation or deep breathing, exercise regularly, focusing on balance-enhancing activities, get up slowly from sitting or lying positions, ensure a safe environment to prevent falls. When you should see the doctor: If dizziness is severe or persistent, if it occurs with other symptoms like chest pain, shortness of breath, or changes in speech or vision, if it's accompanied by severe headaches, weakness, or numbness, if there is a history of head injury, if it significantly affects daily activities."
Eye Discomfort and Redness,"The symptoms are: Redness in one or both eyes, itchiness or irritation in the eyes, a gritty or burning sensation, watery or discharge from the eyes, sensitivity to light, blurred vision or difficulty seeing. The risk factors are: Allergies (such as pollen, dust, pet dander), eye infections (like conjunctivitis or blepharitis), dry eye syndrome, prolonged use of computers or screens (digital eye strain), contact lens wear (especially if over-worn or not properly cleaned), environmental factors (smoke, wind, chemicals), injuries to the eye. You are recommended to: Take regular breaks when using digital devices, ensure proper lighting to reduce eye strain, use over-the-counter artificial tears for lubrication, maintain good hygiene, especially with contact lenses, protect eyes from environmental irritants with sunglasses, apply a warm, damp cloth to the eyes if they feel irritated, manage allergies with appropriate medication. When you should see the doctor: If redness or discomfort persists for more than a few days, if experiencing severe pain, vision changes, or sensitivity to light, if there is discharge from the eyes, especially if it's green or yellow, if symptoms occur after an injury to the eye, if over-the-counter treatments are not relieving symptoms."
Eye Problems,"The symptoms are: Blurred or double vision, pain or discomfort in or around the eyes, redness or irritation, itching and discharge, dryness or tearing, sensitivity to light, floaters or flashes of light in vision, loss of peripheral or central vision. The risk factors are: Age-related changes, genetic factors, diabetes and other systemic diseases, prolonged screen time and eye strain, exposure to bright light or uv radiation, eye injuries, smoking, certain medications, poor nutrition. You are recommended to: Regular eye exams, especially after the age of 40, protect eyes from uv light with sunglasses, maintain a balanced diet rich in vitamins a, c, e, and omega-3 fatty acids, take breaks during prolonged computer or device use, use proper lighting to avoid eye strain, quit smoking, control chronic health conditions like diabetes or hypertension, wear protective eyewear during activities that could lead to injury. When you should see the doctor: Any sudden changes in vision, like blurriness, double vision, or seeing flashes of light, persistent or severe eye pain, redness and swelling that does not improve, signs of infection, such as discharge or excessive tearing, any significant injury to the eye, if you experience symptoms of a retinal detachment, like a sudden increase in floaters or a shadow covering part of your vision."
